indice_janela,tempo_centro_s,aceleracao_x_g_mean,aceleracao_x_g_rms,aceleracao_x_g_std,aceleracao_x_g_variance,aceleracao_x_g_peak,aceleracao_x_g_peak_to_peak,aceleracao_x_g_sra,aceleracao_x_g_skewness,aceleracao_x_g_kurtosis,aceleracao_x_g_crest_factor,aceleracao_x_g_shape_factor,aceleracao_x_g_impulse_factor,aceleracao_x_g_clearance_factor,aceleracao_x_g_rms_espectral,aceleracao_x_g_energia_espectral,aceleracao_y_g_mean,aceleracao_y_g_rms,aceleracao_y_g_std,aceleracao_y_g_variance,aceleracao_y_g_peak,aceleracao_y_g_peak_to_peak,aceleracao_y_g_sra,aceleracao_y_g_skewness,aceleracao_y_g_kurtosis,aceleracao_y_g_crest_factor,aceleracao_y_g_shape_factor,aceleracao_y_g_impulse_factor,aceleracao_y_g_clearance_factor,aceleracao_y_g_rms_espectral,aceleracao_y_g_energia_espectral,aceleracao_z_g_mean,aceleracao_z_g_rms,aceleracao_z_g_std,aceleracao_z_g_variance,aceleracao_z_g_peak,aceleracao_z_g_peak_to_peak,aceleracao_z_g_sra,aceleracao_z_g_skewness,aceleracao_z_g_kurtosis,aceleracao_z_g_crest_factor,aceleracao_z_g_shape_factor,aceleracao_z_g_impulse_factor,aceleracao_z_g_clearance_factor,aceleracao_z_g_rms_espectral,aceleracao_z_g_energia_espectral
0,112.5,-0.0050344020626338,0.20932500500009094,0.20926445592637044,0.04379161251415984,1.5490804,2.966,0.07986396127502207,-0.7851929890700189,5.290363763235,7.400360028651747,1.6498259643895015,12.209306121099887,19.39648841942034,0.20926445592637047,0.04379161251415985,-0.010181671286655999,0.23143972754766243,0.23121565919536397,0.0534606810571467,2.6555616,5.246,0.0803181192164207,-0.27715376940701225,13.39513481180741,11.474095774905873,1.7503476305710435,20.083656352551717,33.06304512490479,0.231215659195364,0.05346068105714671,0.011944145305541281,0.11968569955891316,0.11908821970214578,0.014182004071826543,2.3243938,3.01806001,0.053172190439931204,2.3409725201111913,56.42280321924073,19.420814755365644,1.6700437954016856,32.4336111838439,43.71446390996202,0.11908821970214578,0.014182004071826541
1,116.0,-0.005326861756048,0.2848025339384149,0.284752713563144,0.08108410788157396,1.2178804,2.1098,0.17939367497258474,-0.5680649474166761,1.2745008019242912,4.276227402749695,1.3163730808721013,5.629110640667321,6.788870344431702,0.2847527135631441,0.08108410788157397,-0.009658732998764,0.36119272257673374,0.3610635563432731,0.13036689171925195,1.1648616,2.3203,0.2504964959126864,0.3446456595827963,-0.0233106445904272,3.225041722020107,1.2382501240155486,3.993408312246715,4.650211156670338,0.3610635563432731,0.13036689171925195,0.01178903273054168,0.15006571190793339,0.14960192711898157,0.022380736597713072,0.70373921,1.136133,0.10252595825537578,-0.6546283002491982,0.5359358605434879,4.689540342378478,1.2499823521352569,5.8618426675994275,6.864010070962693,0.14960192711898157,0.022380736597713075
2,119.5,-0.0038199252432579997,0.2563496604293992,0.25632119805705533,0.06570055657340419,1.1331804,1.9341,0.1629560541868311,-0.4937387062071431,1.4082203976711467,4.420448219443174,1.314641763708833,5.811305843592345,6.953901809016528,0.2563211980570554,0.0657005565734042,-0.006532967785079998,0.33590934036987097,0.33584580580921497,0.11279240527964093,1.1462216,2.0736600000000003,0.23291668831343215,0.606454050605787,0.08136749644142682,3.4122945159485334,1.2386122639528239,4.226509835672818,4.921165624927435,0.33584580580921497,0.11279240527964093,0.013692742702101919,0.13930014105023816,0.13862553189766408,0.019217038093910285,0.70373921,1.107133,0.09565556127817022,-0.7763557268698353,0.616986761801471,5.051963369844676,1.246709442913231,6.298330438437106,7.357013022520436,0.13862553189766408,0.019217038093910285
3,123.0,-0.0043972205592644,0.25038514664855194,0.2503465320582054,0.06267338611357005,1.0841804,1.8840999999999999,0.15880782012101505,-0.4671025686030093,1.3287803441473347,4.330050781813299,1.3135999536589587,5.687954506330888,6.8269962976245795,0.2503465320582054,0.06267338611357005,-0.0076361517711120005,0.315613586507654,0.31552119607778,0.09955362517435291,1.0475616,1.903,0.21817689013032088,0.6015539675474852,0.13966761595133947,3.3191270743174917,1.2419239841901926,4.122103520169916,4.801432449487538,0.31552119607778006,0.09955362517435293,0.012209853480968761,0.13692831567183072,0.1363828549000856,0.018600283110697797,0.69160621,1.08,0.09172525572786902,-0.8636227841097248,1.112602586585738,5.05086334120649,1.2677194817492374,6.403077857300514,7.539975817040631,0.13638285490008556,0.018600283110697793
4,126.5,-0.0037563457550599992,0.24604074642926305,0.24601207037468178,0.06052193877003738,1.0978804,1.9098,0.1547640940416283,-0.42961753441821876,1.3254592039622182,4.462189356573268,1.3203642823776756,5.891715447625165,7.093896079698519,0.24601207037468176,0.06052193877003737,-0.005847427762762,0.30212009500919224,0.3020635022589168,0.09124235939692264,1.0189716,1.82141,0.2093031554854395,0.622719359853331,0.14192749716341613,3.372736924265157,1.240706068190758,4.1845751683468135,4.868400562985713,0.3020635022589168,0.09124235939692264,0.01378306946760752,0.13003890274189545,0.12930639281322193,0.01672014322236725,0.69042621,1.0788200000000001,0.08800350973240786,-0.8390066986065532,1.2151135764810226,5.309382003709888,1.2599122947810952,6.689355664163574,7.845439484168051,0.12930639281322193,0.01672014322236725
5,130.0,-0.0034314690216751998,0.24349686529888342,0.24347268518405887,0.05927894843073584,1.1020804,1.914,0.15558344402811303,-0.48741840553265453,1.191495252971814,4.526055802185531,1.3059285884538872,5.910705665011676,7.083532614182653,0.24347268518405887,0.05927894843073585,-0.004881095747942001,0.2932165026243106,0.29317587266951517,0.08595209231553176,1.0106416,1.78708,0.20059725422806396,0.6780839237730065,0.27391260160724196,3.44674188169724,1.2510165867655503,4.311931264302752,5.038162680187919,0.29317587266951517,0.08595209231553176,0.01373078345320748,0.12661331653495556,0.1258665861527275,0.015842397509741975,0.65853621,0.99693,0.08503723906915575,-0.8320827733538914,1.1137048525258342,5.201160731132025,1.2642949948113913,6.575801479579776,7.744092084932949,0.12586658615272753,0.01584239750974198
6,133.5,-0.003666827039034399,0.24101433712109208,0.24098644168787842,0.05807446507738522,1.0072804,1.8172,0.1555688243012308,-0.4734060645245108,1.145937051651206,4.179338092629383,1.300100601463107,5.4335599679451345,6.47482170366978,0.24098644168787842,0.05807446507738522,-0.00523202774226,0.2849023737417025,0.2848543284722227,0.08114198844936095,1.0221616,1.8486,0.19488096330284616,0.644463715659594,0.33653569365191105,3.587760911134807,1.2520307494590854,4.4919869824481236,5.245056175197343,0.28485432847222275,0.08114198844936096,0.01419134343345316,0.12288885631723157,0.12206668988102762,0.014900276778510971,0.65853621,0.97593,0.08216712292026891,-0.850157252162281,1.2266407846656637,5.358795172607197,1.268389757297945,6.797040908392642,8.014594969316528,0.12206668988102763,0.014900276778510975
7,137.0,-0.0042306913076968,0.23833442498245044,0.23829687237304287,0.05678539938277428,1.0072804,1.7782,0.1529338411113595,-0.48217474655312126,1.1834263034949482,4.226331970608821,1.302961835741424,5.50674926287714,6.586380049570219,0.23829687237304287,0.05678539938277428,-0.005496301731182001,0.27997405244412576,0.2799200970085318,0.07835526070926588,1.0023516,1.73279,0.19065910281290596,0.6394198891366157,0.3460040344324731,3.5801589156196485,1.256026256242705,4.496773599539689,5.257297371128453,0.2799200970085318,0.07835526070926588,0.0140256294298764,0.12302272513626913,0.12222058999632512,0.01493787261904981,0.58310621,0.9244999999999999,0.08198373611984054,-0.8557139177609393,1.2396211445774412,4.739825177454882,1.2711287432341936,6.024928020968011,7.112462027195719,0.12222058999632512,0.01493787261904981
8,140.5,-0.0049632090477124005,0.29706375372407806,0.29702228928581836,0.08822224033258838,1.1590804,2.198,0.19005635207243982,-0.22425940200751396,0.7507380714983225,3.901790055062017,1.3009971717864275,5.076217826540093,6.098614370743143,0.29702228928581836,0.08822224033258838,-0.007489377741604,0.32013399072475784,0.3200463735748351,0.10242968123840292,1.2084384,2.26161,0.21058919768732895,0.07706243518867271,0.4820765521936843,3.774789416344674,1.2797143940049385,4.83065235043378,5.738368412392271,0.3200463735748351,0.10242968123840293,0.010605095463099859,0.1361447498310437,0.13573107550143412,0.01842292485677601,0.67070621,1.1671,0.08800829975765755,-0.7004810202538231,1.3732283264617395,4.926419937840788,1.2937033240026927,6.373325849017767,7.620942704800319,0.13573107550143415,0.018422924856776015
9,144.0,-0.002605385114238001,0.4445938089151614,0.4445861748796262,0.19765686689409756,1.2889196,2.448,0.3296734013057441,0.12259035792910351,-0.7428664686850968,2.89909480103884,1.1847222231783123,3.4346220378914216,3.909686358969059,0.4445861748796262,0.1976568668940976,-0.0056095662254719994,0.4805042017878565,0.48047145669909175,0.23085282070254717,1.5274384,2.7631,0.3252952260082942,-0.2049465526421678,-0.2254836107575171,3.17882423153995,1.2486704527055237,3.969303892268278,4.695545086053782,0.48047145669909175,0.23085282070254717,0.01887825758885586,0.17194624433313643,0.17090676502315366,0.029209122330679464,0.68005621,1.28845,0.11709498123863658,-0.13318233725072848,0.18131255610456698,3.95505125824341,1.250620909450892,4.946269801509268,5.807731491190582,0.17090676502315366,0.029209122330679464
