indice_janela,tempo_centro_s,aceleracao_x_g_mean,aceleracao_x_g_rms,aceleracao_x_g_std,aceleracao_x_g_variance,aceleracao_x_g_peak,aceleracao_x_g_peak_to_peak,aceleracao_x_g_sra,aceleracao_x_g_skewness,aceleracao_x_g_kurtosis,aceleracao_x_g_crest_factor,aceleracao_x_g_shape_factor,aceleracao_x_g_impulse_factor,aceleracao_x_g_clearance_factor,aceleracao_x_g_rms_espectral,aceleracao_x_g_energia_espectral,aceleracao_y_g_mean,aceleracao_y_g_rms,aceleracao_y_g_std,aceleracao_y_g_variance,aceleracao_y_g_peak,aceleracao_y_g_peak_to_peak,aceleracao_y_g_sra,aceleracao_y_g_skewness,aceleracao_y_g_kurtosis,aceleracao_y_g_crest_factor,aceleracao_y_g_shape_factor,aceleracao_y_g_impulse_factor,aceleracao_y_g_clearance_factor,aceleracao_y_g_rms_espectral,aceleracao_y_g_energia_espectral,aceleracao_z_g_mean,aceleracao_z_g_rms,aceleracao_z_g_std,aceleracao_z_g_variance,aceleracao_z_g_peak,aceleracao_z_g_peak_to_peak,aceleracao_z_g_sra,aceleracao_z_g_skewness,aceleracao_z_g_kurtosis,aceleracao_z_g_crest_factor,aceleracao_z_g_shape_factor,aceleracao_z_g_impulse_factor,aceleracao_z_g_clearance_factor,aceleracao_z_g_rms_espectral,aceleracao_z_g_energia_espectral
0,115.0,-0.0050473255242468994,0.23938012064574654,0.23932690334649895,0.05727736666542445,1.5490804,2.966,0.11894507642541424,-0.5773159435924026,2.9299406394101153,6.471215720926344,1.4633797636871302,9.469846132457636,13.023493250444604,0.23932690334649898,0.05727736666542446,-0.009297788144190001,0.3017898027051477,0.3016465417544808,0.09099063615243771,2.6555616,5.246,0.15337160146627,0.41922143201290346,2.8200970540063475,8.799374850297761,1.4279833721175204,12.565360971254298,17.31455872281558,0.3016465417544808,0.09099063615243771,0.011832061017829621,0.13503904037293496,0.13451968167117226,0.018095544756913516,2.3243938,3.0281330100000003,0.07580412537066883,0.32272747016743947,17.862420213918416,17.212754130811078,1.412844217671714,24.31894014392134,30.663157033131426,0.13451968167117226,0.01809554475691352
1,120.0,-0.004550233780363198,0.2583274724541626,0.2582873949636338,0.06671237839710016,1.2178804,2.1098,0.16233970539191975,-0.46197849457027784,1.5392808858709586,4.71448270069727,1.3219758318901933,6.2324321901861985,7.502048849108103,0.25828739496363384,0.06671237839710017,-0.007882579387674001,0.33883797913028435,0.3387462782722373,0.11474904104329203,1.1648616,2.1553,0.23449318690909982,0.58682988828571,0.0954571226791412,3.4378129718218715,1.2404202655890442,4.264332879552747,4.967571191957714,0.3387462782722373,0.11474904104329205,0.01226297510795136,0.1425978817236106,0.14206961432186196,0.020183775313562607,0.70373921,1.136133,0.09717051324866101,-0.7647102725727818,0.7043573312946592,4.935130883388702,1.2532434109477035,6.184920261771409,7.242312368970608,0.14206961432186196,0.020183775313562607
2,125.0,-0.004195898892867401,0.24829688524114182,0.2482614300549596,0.06163373765293359,1.1331804,1.9451,0.1571171559604349,-0.46168777331834604,1.388957369345042,4.563812384917652,1.3158091246437544,6.005105979236822,7.212327597664488,0.2482614300549596,0.06163373765293359,-0.006927641763835,0.3088928158853278,0.30881512185312265,0.095366779485159,1.1162616,1.9717000000000002,0.21249379981823452,0.6245994188133394,0.17809722043968446,3.6137506040748995,1.245082608208969,4.499418027538312,5.253149037547643,0.30881512185312265,0.095366779485159,0.01233381947430394,0.13404327519226839,0.13347462875560087,0.017815476521445477,0.69160621,1.095,0.09005440080269422,-0.8591976845530831,1.1250287557636431,5.159574092829178,1.2656606236969379,6.53026976434074,7.679871320395357,0.1334746287556009,0.01781547652144548
3,130.0,-0.0038537026777606003,0.2439171014260203,0.24388665675625407,0.059480701343742885,1.1020804,1.914,0.1550435310378127,-0.4653381541941265,1.2384103107829363,4.518258021093528,1.3111460027162078,5.924095943597223,7.108199823772201,0.24388665675625407,0.05948070134374289,-0.005710438750920999,0.29382460685137196,0.2937691108347426,0.0863002904806353,1.0221616,1.8486,0.20151378879644968,0.6463775639057794,0.24650909454953718,3.478815511585282,1.2485234205472253,4.343382641977202,5.072415173695592,0.29376911083474255,0.08630029048063527,0.013098364452138139,0.12785057925806134,0.12717784188018283,0.016174203465300786,0.69042621,1.05782,0.08534207330223562,-0.8781534931558462,1.2980647842882451,5.400258755233342,1.2702735613176637,6.859805921047151,8.090103547811436,0.12717784188018283,0.01617420346530079
4,135.0,-0.0038482684039798003,0.24017227482479225,0.240141442539197,0.057667912424806456,1.0072804,1.8172,0.15411779399162603,-0.4792046586990307,1.1524791894202382,4.193991170441383,1.3031582919491502,5.46543437012221,6.535782623872299,0.240141442539197,0.05766791242480646,-0.005369334737538999,0.2830772256025939,0.2830262989535391,0.08010388589933809,1.0221616,1.8486,0.19315893094039702,0.6496957048172463,0.3322726342353417,3.6108930975428977,1.253896559198972,4.527686430644357,5.291816407471255,0.2830262989535391,0.08010388589933808,0.01394632743477278,0.12352791800466484,0.12273812153381404,0.015064646477649305,0.65853621,0.99993,0.08229421851481449,-0.853494768932098,1.2636315088035968,5.331071879436448,1.270997422264561,6.775778616670814,8.002217189552036,0.12273812153381404,0.015064646477649307
5,140.0,-0.0036549340978824004,0.32550333690039,0.32548281642819327,0.10593906379002897,1.2889196,2.448,0.20817380598208896,-0.1039491523301099,0.4995853354327857,3.9597738452507265,1.2983962548966193,5.141355530911128,6.191555147485257,0.32548281642819327,0.10593906379002896,-0.005917715961096999,0.3543780767815728,0.3543286637307375,0.12554880194121007,1.5274384,2.7631,0.2291289592623472,0.05690824890528141,0.6873475778952285,4.310194394280953,1.2943307238942443,5.57881703047458,6.666282624934893,0.3543286637307375,0.12554880194121007,0.015566073481454128,0.14323412077548664,0.1423857812799321,0.02027371071069666,0.68005621,1.28845,0.09326202886121898,-0.46441364882655783,1.155367364957847,4.747864589234007,1.2892328915597235,6.121103193112178,7.2918873662074795,0.1423857812799321,0.02027371071069666
6,145.0,-0.003072011439745,0.41383840220575496,0.4138269999479569,0.17125278588592632,1.2889196,2.448,0.2965937719337306,0.17144987766780412,-0.528343133621596,3.1145480775347822,1.2091908407307328,3.766083008370571,4.345740612139319,0.4138269999479569,0.17125278588592632,-0.005296865014069,0.4609178988503144,0.4608874620789889,0.2124172527016114,1.5274384,2.7631,0.3068102188973091,-0.21246206832028067,-0.0661372553654127,3.3139055866781253,1.2629168407371212,4.185187174028634,4.978446954895076,0.4608874620789889,0.2124172527016114,0.016964845564490388,0.16255161702814624,0.16166391747523043,0.02613522221343811,0.71316521,1.3215590000000002,0.11027474841500802,-0.1774827922627328,0.25588455649228514,4.387315383497622,1.2529999486605492,5.4973059502801584,6.467166964789381,0.16166391747523043,0.026135222213438114
7,150.0,-0.0035164524316282,0.42580748420284914,0.4257929639689408,0.1812996481654557,1.1461804,2.2921,0.3188687152164449,0.2922059245576822,-0.7284183671920794,2.691780775403127,1.18010706715127,3.1765895162751554,3.594521335283658,0.42579296396894084,0.18129964816545574,-0.004664685730774,0.49720121237996084,0.49717933012056736,0.24718728629913608,1.5624384,2.66674,0.3395932168076311,-0.26144274476908524,-0.3212464874723646,3.1424669954464743,1.241467204367653,3.9012697156545526,4.600911686893535,0.4971793301205674,0.24718728629913614,0.015022309599811382,0.16665108014280447,0.16597262643897293,0.027546912727050853,0.71316521,1.252559,0.11637067992696622,-0.16849923610835998,-0.03330647316118229,4.279391465023112,1.2304444487456436,5.265553472147175,6.128392568021255,0.16597262643897293,0.027546912727050853
8,155.0,-0.0035553959689402005,0.43339547756789515,0.43338089382875195,0.18781899913580796,1.5150804,2.907,0.31578222853208765,0.16258522614195425,-0.5773364520621413,3.4958380472778456,1.1987866156266787,4.190763861475186,4.7978646773215985,0.43338089382875195,0.18781899913580796,-0.0051016660357849995,0.5161946235892568,0.5161694125247193,0.26643086242611386,2.0074384,3.7645999999999997,0.34573834127702147,-0.13914724740730108,0.0584653036693652,3.88891768387992,1.2601506340804902,4.900622085228113,5.806235989289796,0.5161694125247193,0.26643086242611386,0.015057609696771317,0.18473965556289193,0.18412498127010263,0.03390200872771564,0.90420621,1.6106,0.12308144631072783,-0.2846683329433195,0.7949413221634707,4.894488989085379,1.2698444565706393,6.215239710536101,7.346405466484911,0.18412498127010266,0.03390200872771565
9,160.0,-0.0021406848643419994,0.4853417299265503,0.48533700897047616,0.23555201227640804,1.5150804,2.907,0.34005668146705004,0.019048854589234325,-0.4736534913707269,3.1216775862839703,1.2242374750111247,3.8216746860311095,4.455376066906671,0.48533700897047616,0.23555201227640807,-0.004816319412045,0.6263150725928863,0.626296553738206,0.3922473732243536,2.0074384,3.8743,0.41538406572003256,0.047213294603026146,-0.08597814417595417,3.205157416521035,1.2658777708364983,4.057337525605718,4.832728469062187,0.626296553738206,0.3922473732243536,0.01975960672383996,0.2349392879842276,0.23410687085315332,0.05480602698065501,0.93340621,1.7008,0.15365086000679812,-0.31445275530338723,0.5298507141871265,3.9729677314024343,1.280227820597068,5.086303820075816,6.0748518424088385,0.23410687085315335,0.054806026980655016
