indice_janela,tempo_centro_s,aceleracao_x_g_mean,aceleracao_x_g_rms,aceleracao_x_g_std,aceleracao_x_g_variance,aceleracao_x_g_peak,aceleracao_x_g_peak_to_peak,aceleracao_x_g_sra,aceleracao_x_g_skewness,aceleracao_x_g_kurtosis,aceleracao_x_g_crest_factor,aceleracao_x_g_shape_factor,aceleracao_x_g_impulse_factor,aceleracao_x_g_clearance_factor,aceleracao_x_g_rms_espectral,aceleracao_x_g_energia_espectral,aceleracao_y_g_mean,aceleracao_y_g_rms,aceleracao_y_g_std,aceleracao_y_g_variance,aceleracao_y_g_peak,aceleracao_y_g_peak_to_peak,aceleracao_y_g_sra,aceleracao_y_g_skewness,aceleracao_y_g_kurtosis,aceleracao_y_g_crest_factor,aceleracao_y_g_shape_factor,aceleracao_y_g_impulse_factor,aceleracao_y_g_clearance_factor,aceleracao_y_g_rms_espectral,aceleracao_y_g_energia_espectral,aceleracao_z_g_mean,aceleracao_z_g_rms,aceleracao_z_g_std,aceleracao_z_g_variance,aceleracao_z_g_peak,aceleracao_z_g_peak_to_peak,aceleracao_z_g_sra,aceleracao_z_g_skewness,aceleracao_z_g_kurtosis,aceleracao_z_g_crest_factor,aceleracao_z_g_shape_factor,aceleracao_z_g_impulse_factor,aceleracao_z_g_clearance_factor,aceleracao_z_g_rms_espectral,aceleracao_z_g_energia_espectral
0,110.5,-0.0072586009777889995,0.030366102550966074,0.029485808382695378,0.000869412895981029,0.2014804,0.22389999900000002,0.0050584600252933,-5.40903939898371,29.10289275718616,6.635043126191052,3.232626803659153,21.448618253159612,39.83038296093241,0.029485808382695378,0.0008694128959810289,-0.0093673987622,0.04150686853764926,0.04043602324946943,0.0016350719762316323,0.2864384,0.315000001,0.005924485113165175,-5.45393360258155,29.374698497700138,6.90098795914182,3.485275430616379,24.05184378097645,48.348235252290024,0.04043602324946943,0.0016350719762316323,0.0066827891246399995,0.06429643293004664,0.06394819479112432,0.004089371617043579,0.45200621,0.509299999,0.02128956090190404,-5.401457156057931,29.08363315683281,7.0300355618759545,2.228286041470083,15.66493011356648,21.231354281223087,0.0639481947911243,0.004089371617043578
1,111.4,-0.009346037988462001,0.15003916210186335,0.149747793767212,0.022424401738147456,1.5490804,2.966,0.028016870402431046,0.05484399918285493,35.29314596951515,10.324507137331993,2.4770214303404563,25.57402543687434,55.29098638603065,0.149747793767212,0.022424401738147456,-0.014820698957280002,0.20472605901113514,0.2041888981327057,0.041693106120648464,2.6555616,5.246,0.02574438939311519,0.16978127352908798,89.11673734369445,12.971292530256555,3.416138739972039,44.31173492011935,103.15108117150278,0.2041888981327057,0.041693106120648464,0.007048329243482001,0.1545051089715805,0.15434425727313422,0.023822149753195448,2.3243938,3.00246001,0.03618755979255237,6.565567823383634,96.79097416946783,15.044122589030673,2.662146407064121,40.04965689782019,64.23184689226753,0.15434425727313422,0.023822149753195444
2,112.3,-0.0037927388331820007,0.12809906106070018,0.12804290131349047,0.01639498457677626,0.6633804,1.1975,0.07632043663255614,0.08630835571171995,2.3446779152900046,5.178651541291586,1.3583693864281683,7.03452171666954,8.692041467134645,0.12804290131349047,0.01639498457677626,-0.00794749917974,0.09803466662073064,0.09771199064713516,0.009547633116225829,0.4984384,0.9346,0.053872399342099316,-0.3529675385548158,3.346274863270253,5.0843075942546125,1.4309976805656885,7.275632374660867,9.252203467583234,0.09771199064713516,0.00954763311622583,0.012988389214361802,0.0799083826964705,0.07884574415136075,0.006216651370781838,0.46190621,0.7673,0.044439945433577786,-1.675126446016882,7.52770907655105,5.780447487650154,1.4366039896489602,8.30421392271452,10.393941880293005,0.07884574415136074,0.006216651370781837
3,113.2,-0.00046125052707999783,0.21829481618894897,0.21829432888400532,0.04765241402291828,1.1649804,1.9139,0.13234499422195378,-0.4964361243482666,1.5437001349237631,5.336729567557071,1.3413816115801858,7.158590907897332,8.802602673783255,0.21829432888400532,0.04765241402291828,-0.008065499553880001,0.22480800539480975,0.2246632747169398,0.050473587006539165,0.9144384,1.8026,0.13423460143907756,-0.23947855199419396,1.422075123791207,4.067641623322334,1.353847957356748,5.506968302994228,6.812240586232293,0.2246632747169398,0.05047358700653917,0.01585968933576,0.11270560084762697,0.11158415083065244,0.012451022716597794,0.50760621,0.947,0.06731602275493015,-0.45853268597036745,2.348582634769767,4.503824177169875,1.362237319944898,6.135277376610927,7.54064469685003,0.11158415083065246,0.012451022716597798
4,114.1,-0.006942690005020002,0.3198903618629949,0.3198150132003374,0.10228164266833198,1.1649804,1.8028,0.2160186185187931,-0.7129960284401696,0.3044132566982536,3.6418115044646036,1.260008239587939,4.588712502651549,5.392962921381934,0.3198150132003374,0.10228164266833199,-0.013303099769699999,0.323739403306121,0.3234659623353293,0.10463022878952069,1.0234384,1.9434,0.22346487746803884,-0.4180379707465389,-0.03972419109050396,3.1613031640521645,1.2443348808065502,3.9337197958342203,4.579862444586523,0.3234659623353293,0.10463022878952069,0.0089566295198,0.1461899707328122,0.14591533959973346,0.021291286330505543,0.69366621,1.02706,0.09848812842729854,-0.6254826226923415,0.8695501489700015,4.744964422133968,1.2611055311044352,5.983900877646907,7.043145413328134,0.14591533959973343,0.02129128633050554
5,115.0,-0.00412006967808,0.3075022916884326,0.30747468907128866,0.09454068441948565,1.2132804,1.9952,0.19768264886768375,-0.5953805149438635,1.0308502497552299,3.9455979119313995,1.299826646194762,5.128593301098848,6.137515897068402,0.30747468907128866,0.09454068441948565,-0.01040294982524,0.4018304993516401,0.40169581631393925,0.16135952884412202,1.1554384,2.28364,0.28690756709242443,0.13990764952376475,-0.44419875013963894,2.875437284786292,1.212915302855199,3.4876618851176966,4.027214798513094,0.40169581631393925,0.16135952884412202,0.016120589554884598,0.1514226122903237,0.15056206064353875,0.022668934105228637,0.43239379,0.8463,0.10483300592273694,-0.32532395666495956,-0.08309097662389764,2.8555430622935507,1.236270295568183,3.5302230656293228,4.1245959342106335,0.15056206064353875,0.02266893410522864
6,115.9,-0.008060502911999999,0.2806354315527475,0.28051964946435115,0.07869127373560245,1.2178804,2.0868,0.1752437428663966,-0.45147428812621626,1.6528911027051922,4.339724293762566,1.3266974429523688,5.757501123653071,6.949637003179595,0.28051964946435115,0.07869127373560245,-0.014018919831000001,0.38632162502473305,0.38606718048614597,0.1490478678485224,1.1394516,2.12989,0.27396752820064446,0.4618119110622947,-0.1553332174733595,2.949489560484868,1.2234492085803927,3.6085506684913424,4.159075374675441,0.38606718048614597,0.14904786784852242,0.005355859561339999,0.16210686057755522,0.16201836011597615,0.02624994901467013,0.69323621,1.12463,0.10907025317682194,-0.7444464222493627,0.5574553728738176,4.276414998909573,1.2607605628474523,5.39153538099452,6.355868715882991,0.16201836011597617,0.026249949014670135
7,116.8,-0.00514228853712,0.26862639161084245,0.2685771679396122,0.07213369513846268,1.1397804,2.0317,0.16224913772420618,-0.38581904612956863,1.719900507737374,4.2429948642246345,1.3521105715245518,5.7369982108425095,7.02487801160101,0.2685771679396122,0.07213369513846268,-0.00858792581132,0.3654902488980754,0.3653893397046996,0.1335093695698364,1.1648616,1.8873000000000002,0.2551762831967201,0.6440507398242232,0.09421020735243513,3.1871208698781075,1.2340556580142485,3.933084542248372,4.564928940131896,0.3653893397046996,0.1335093695698364,0.011070489540379999,0.14976633284826735,0.14935661591022453,0.02230739871615434,0.52250621,0.8898999999999999,0.10412759814583773,-0.6666849495613777,0.06165245898143956,3.488809534579219,1.2361619630217262,4.312733642874362,5.01794163414962,0.1493566159102246,0.02230739871615435
8,117.7,-0.0038684006280400004,0.2598434675130407,0.2598146706515659,0.06750366308578164,1.0154804,1.8054000000000001,0.15959080443578877,-0.44421096975242086,1.4604479820049603,3.9080466779448138,1.33614888640144,5.22173221674081,6.363025761979774,0.2598146706515659,0.06750366308578165,-0.0070503997936400015,0.34763816318965907,0.3475666617623587,0.12080258436862985,1.1462216,2.0736600000000003,0.24114111134760677,0.6493451979284603,0.08181917889902746,3.2971684969312824,1.2385227030413577,4.083618039202142,4.7533230380932965,0.34756666176235873,0.12080258436862987,0.014259889501343801,0.14130816733993418,0.14058681911324514,0.01976465370838031,0.43710621,0.7965,0.0995336373956879,-0.6819852073187185,0.019762773946072176,3.0932834119098525,1.2281406081593818,3.7989869707122934,4.391542612497117,0.14058681911324514,0.01976465370838031
9,118.6,-0.0033934093190399997,0.2585670894715194,0.25854482112578897,0.0668454245309662,1.1286804,1.8856,0.1662383776898647,-0.5363814423696559,1.53284103669926,4.3651355719975395,1.3065349985309485,5.703202398147197,6.789529684328805,0.2585448211257889,0.06684542453096619,-0.006373319783460001,0.3358438623978763,0.33578338360505783,0.1127504807052614,1.0683316,1.85277,0.2314962145506475,0.6513868034033249,0.1463564119182048,3.181036545888521,1.2422256610309823,3.9515652259800804,4.614898788188465,0.33578338360505783,0.11275048070526142,0.013621155494262,0.14422018615199797,0.14357550702232635,0.020613926216718086,0.70373921,1.0611329999999999,0.0978910740798517,-1.0313467859673648,1.828027873892526,4.879616569474596,1.2632578213423669,6.164213796540593,7.189002844385443,0.14357550702232635,0.020613926216718086
