indice_janela,tempo_centro_s,aceleracao_x_g_mean,aceleracao_x_g_rms,aceleracao_x_g_std,aceleracao_x_g_variance,aceleracao_x_g_peak,aceleracao_x_g_peak_to_peak,aceleracao_x_g_sra,aceleracao_x_g_skewness,aceleracao_x_g_kurtosis,aceleracao_x_g_crest_factor,aceleracao_x_g_shape_factor,aceleracao_x_g_impulse_factor,aceleracao_x_g_clearance_factor,aceleracao_x_g_rms_espectral,aceleracao_x_g_energia_espectral,aceleracao_y_g_mean,aceleracao_y_g_rms,aceleracao_y_g_std,aceleracao_y_g_variance,aceleracao_y_g_peak,aceleracao_y_g_peak_to_peak,aceleracao_y_g_sra,aceleracao_y_g_skewness,aceleracao_y_g_kurtosis,aceleracao_y_g_crest_factor,aceleracao_y_g_shape_factor,aceleracao_y_g_impulse_factor,aceleracao_y_g_clearance_factor,aceleracao_y_g_rms_espectral,aceleracao_y_g_energia_espectral,aceleracao_z_g_mean,aceleracao_z_g_rms,aceleracao_z_g_std,aceleracao_z_g_variance,aceleracao_z_g_peak,aceleracao_z_g_peak_to_peak,aceleracao_z_g_sra,aceleracao_z_g_skewness,aceleracao_z_g_kurtosis,aceleracao_z_g_crest_factor,aceleracao_z_g_shape_factor,aceleracao_z_g_impulse_factor,aceleracao_z_g_clearance_factor,aceleracao_z_g_rms_espectral,aceleracao_z_g_energia_espectral
0,115.0,-0.0050473255242468994,0.23938012064574654,0.23932690334649895,0.05727736666542445,1.5490804,2.966,0.11894507642541424,-0.5773159435924026,2.9299406394101153,6.471215720926344,1.4633797636871302,9.469846132457636,13.023493250444604,0.23932690334649898,0.05727736666542446,-0.009297788144190001,0.3017898027051477,0.3016465417544808,0.09099063615243771,2.6555616,5.246,0.15337160146627,0.41922143201290346,2.8200970540063475,8.799374850297761,1.4279833721175204,12.565360971254298,17.31455872281558,0.3016465417544808,0.09099063615243771,0.011832061017829621,0.13503904037293496,0.13451968167117226,0.018095544756913516,2.3243938,3.0281330100000003,0.07580412537066883,0.32272747016743947,17.862420213918416,17.212754130811078,1.412844217671714,24.31894014392134,30.663157033131426,0.13451968167117226,0.01809554475691352
1,122.0,-0.0043140346877612,0.2522018929523299,0.2521649934337661,0.06358718391345129,1.1331804,1.9341,0.15924068514729176,-0.47443089886859713,1.4489181932464064,4.493147877419734,1.3183509822894932,5.923545917768257,7.116148733923432,0.2521649934337661,0.06358718391345129,-0.007318081775124,0.3223218014386803,0.3222387148711474,0.10383778936180865,1.1462216,2.0736600000000003,0.22245128718213844,0.6067364400564744,0.1331703048096049,3.556140462369753,1.2423484894339814,4.417965731640122,5.15268585099936,0.32223871487114747,0.10383778936180867,0.01252940608949336,0.13785917744221493,0.1372886258511195,0.018848166788088677,0.70373921,1.107133,0.09358720669818009,-0.8387024744594599,0.9639725180807637,5.104768670877783,1.2575274405221628,6.419386681146661,7.519609087912706,0.13728862585111948,0.018848166788088674
2,129.0,-0.0037598897771665995,0.24489205004084164,0.24486318506886584,0.05995797940206964,1.1020804,1.914,0.15522104147760613,-0.4569685546448073,1.275270661739297,4.500270220353015,1.3136300118551907,5.911690022913893,7.1000709021721,0.24486318506886584,0.05995797940206965,-0.005753227755111,0.2962692790124015,0.29621341302669946,0.08774238605692604,1.0221616,1.8486,0.20371154523402052,0.6439212680837969,0.22819917878685692,3.450109992528835,1.246780699894165,4.3015305511969535,5.0176910632421805,0.29621341302669946,0.08774238605692604,0.013371776457588339,0.12859382575158276,0.12789670682154688,0.016357567615796716,0.69042621,1.0788200000000001,0.0863764355959284,-0.865062585774769,1.2963271657188224,5.369046343902729,1.2659206729692365,6.796786760876361,7.993224138465667,0.12789670682154688,0.016357567615796716
3,136.0,-0.0041466000532686,0.2392684447850513,0.23923251112224564,0.057232194377855386,1.0072804,1.8172,0.1543112130098789,-0.4777543948520142,1.1621290209184973,4.209833857970274,1.3003689302730739,5.474337150516172,6.527590447594463,0.23923251112224564,0.057232194377855386,-0.005966924734083,0.2808873784044905,0.28082399319888113,0.07886211515616523,1.0221616,1.8486,0.19137929098490183,0.6471178617736899,0.34556713962620567,3.639044252561755,1.2547785429747818,4.566194645050192,5.34102511687453,0.2808239931988811,0.07886211515616522,0.013273056431984778,0.12371668207316429,0.12300261540368058,0.01512964339614576,0.65853621,0.99993,0.08210660789885492,-0.8855856493120596,1.3995570625896763,5.322937852556949,1.2749810325778617,6.786644799600844,8.020501965094384,0.12300261540368058,0.01512964339614576
4,143.0,-0.0037137516073722,0.3834745353732854,0.3834565520743593,0.14703892732875584,1.2889196,2.448,0.26049947290546555,0.12265251477519923,-0.1931324607556668,3.3611608623381675,1.2472688495204851,4.192271241821808,4.947877957771319,0.3834565520743593,0.14703892732875584,-0.006163872990956,0.422925325984212,0.4228804062954482,0.17882783802860336,1.5274384,2.7631,0.2747706952836458,-0.14480475290816583,0.2612498745398568,3.6116030565098387,1.2844550674385649,4.638941847510672,5.558956709059623,0.42288040629544826,0.1788278380286034,0.015509268431948109,0.1564334680814036,0.1556627525411307,0.024230892528681294,0.70195721,1.310351,0.1036348908442632,-0.2772507947085142,0.5916840821044755,4.487257225766554,1.2721275632198117,5.7083636001549,6.773367581916621,0.15566275254113074,0.0242308925286813
5,150.0,-0.0035164524316282,0.42580748420284914,0.4257929639689408,0.1812996481654557,1.1461804,2.2921,0.3188687152164449,0.2922059245576822,-0.7284183671920794,2.691780775403127,1.18010706715127,3.1765895162751554,3.594521335283658,0.42579296396894084,0.18129964816545574,-0.004664685730774,0.49720121237996084,0.49717933012056736,0.24718728629913608,1.5624384,2.66674,0.3395932168076311,-0.26144274476908524,-0.3212464874723646,3.1424669954464743,1.241467204367653,3.9012697156545526,4.600911686893535,0.4971793301205674,0.24718728629913614,0.015022309599811382,0.16665108014280447,0.16597262643897293,0.027546912727050853,0.71316521,1.252559,0.11637067992696622,-0.16849923610835998,-0.03330647316118229,4.279391465023112,1.2304444487456436,5.265553472147175,6.128392568021255,0.16597262643897293,0.027546912727050853
6,157.0,-0.0028935333982381996,0.4573897174086972,0.45738056479881306,0.2091969810556812,1.5150804,2.907,0.3266297814467263,0.09661855728378498,-0.4861477466078168,3.3124496295709487,1.2124392226547087,4.016143853959879,4.638524978614393,0.45738056479881306,0.2091969810556812,-0.004926898444333999,0.565477945703454,0.5654564817461356,0.31974103274871774,2.0074384,3.8743,0.37315542499366505,-0.03584192584516708,0.12490852887824078,3.549985309334652,1.271330710377963,4.513205345147756,5.379630753148181,0.5654564817461356,0.31974103274871774,0.01706171414848776,0.20758356346512144,0.2068812068100759,0.04279983373119339,0.93340621,1.7008,0.13520386871128365,-0.30223525513054317,0.8668832842745462,4.496532357470743,1.2871199562103235,5.787576531046045,6.90369453845444,0.2068812068100759,0.0427998337311934
7,164.0,-0.0012803317748419992,0.5186613222177149,0.5186597419456948,0.26900792791517464,1.5150804,2.907,0.3631322019130168,-0.02535369896692189,-0.5565858640976584,2.9211362696600407,1.2234341857492925,3.5738179735342577,4.1722557019686075,0.5186597419456948,0.26900792791517464,-0.0040871637953210005,0.6999191943394977,0.6999072607831424,0.4898701736969617,1.9006616,3.7041000000000004,0.4795920036517448,0.08432353452024795,-0.45849011834544173,2.7155443305046427,1.2388066266274333,3.364034311529708,3.963080254732861,0.6999072607831425,0.48987017369696173,0.022984700776657922,0.2639425630034864,0.26293987924059153,0.06913738009505686,0.93340621,1.7008,0.17931833584483092,-0.32250416534772824,0.0354852009650215,3.5363989777869618,1.2482639797458457,4.414359461981493,5.205302656877778,0.2629398792405916,0.06913738009505688
8,171.0,-0.0017693976450463985,0.5123080787658966,0.5123050232047093,0.26245643680077774,1.3739196,2.701,0.36008817161862655,-0.06928165249371389,-0.5813521537918573,2.6818230220176247,1.2209233351429054,3.2743003083047837,3.815508834472724,0.5123050232047094,0.2624564368007778,-0.00364037661718,0.6733562034643802,0.6733463628787557,0.45339532440204894,1.9006616,3.5991,0.4612089849583821,0.10559833767775115,-0.44786695019795175,2.8226688789992607,1.2392330556526,3.497944580017753,4.121042004789888,0.6733463628787556,0.4533953244020489,0.0218012799625116,0.2535142299239944,0.2525750759001214,0.0637941689659521,1.0582062,1.8015999900000002,0.171925854652262,-0.35035114010048785,0.12034533608193465,4.17414912100697,1.2498568152880885,5.217088726919345,6.155014916984607,0.2525750759001214,0.0637941689659521
9,178.0,-0.0018949344685472013,0.508776724102044,0.5087731952563611,0.25885016421136736,1.4029196,2.779,0.35539766649310034,-0.0729983443552941,-0.5558732020550434,2.7574366780950066,1.224537054709592,3.376583388342661,3.9474642977917136,0.5087731952563611,0.25885016421136736,-0.0030030396629769996,0.6591912301325084,0.6591843897092773,0.4345240596363923,1.8029616,3.4344,0.4485754650125305,0.12680369967139296,-0.41527164185886845,2.7351116301070553,1.243334834386943,3.4006595656489575,4.0193049790398945,0.6591843897092773,0.4345240596363924,0.02011204241403024,0.24889244387896714,0.24807852460457164,0.06154295436998106,1.1000062,1.8123999899999998,0.17040612994596696,-0.3577996175278279,0.11967438419909193,4.4196046406893625,1.2446897149296299,5.501036440321312,6.455203227423768,0.24807852460457164,0.06154295436998105
